,index,block_height,halvings,subsidy_reward,binary_subsidy_reward,total_expected_issuance
0,0,0,0,5000000000,100101010000001011111001000000000,5000000000
1,210000,210000,1,2500000000,010010101000000101111100100000000,1050002500000000
2,420000,420000,2,1250000000,001001010100000010111110010000000,1575001250000000
3,630000,630000,3,625000000,000100101010000001011111001000000,1837500625000000
4,840000,840000,4,312500000,000010010101000000101111100100000,1968750312500000
5,1050000,1050000,5,156250000,000001001010100000010111110010000,2034375156250000
6,1260000,1260000,6,78125000,000000100101010000001011111001000,2067187578125000
7,1470000,1470000,7,39062500,000000010010101000000101111100100,2083593789062500
8,1680000,1680000,8,19531250,000000001001010100000010111110010,2091796894531250
9,1890000,1890000,9,9765625,000000000100101010000001011111001,2095898447265625
10,2100000,2100000,10,4882812,000000000010010101000000101111100,2097949223632812
11,2310000,2310000,11,2441406,000000000001001010100000010111110,2098974611711406
12,2520000,2520000,12,1220703,000000000000100101010000001011111,2099487305750703
13,2730000,2730000,13,610351,000000000000010010101000000101111,2099743652770351
14,2940000,2940000,14,305175,000000000000001001010100000010111,2099871826175175
15,3150000,3150000,15,152587,000000000000000100101010000001011,2099935912772587
16,3360000,3360000,16,76293,000000000000000010010101000000101,2099967955966293
17,3570000,3570000,17,38146,000000000000000001001010100000010,2099983977458146
18,3780000,3780000,18,19073,000000000000000000100101010000001,2099991988099073
19,3990000,3990000,19,9536,000000000000000000010010101000000,2099995993419536
20,4200000,4200000,20,4768,000000000000000000001001010100000,2099997995974768
21,4410000,4410000,21,2384,000000000000000000000100101010000,2099998997252384
22,4620000,4620000,22,1192,000000000000000000000010010101000,2099999497891192
23,4830000,4830000,23,596,000000000000000000000001001010100,2099999748210596
24,5040000,5040000,24,298,000000000000000000000000100101010,2099999873370298
25,5250000,5250000,25,149,000000000000000000000000010010101,2099999935950149
26,5460000,5460000,26,74,000000000000000000000000001001010,2099999967240074
27,5670000,5670000,27,37,000000000000000000000000000100101,2099999982780037
28,5880000,5880000,28,18,000000000000000000000000000010010,2099999990550018
29,6090000,6090000,29,9,000000000000000000000000000001001,2099999994330009
30,6300000,6300000,30,4,000000000000000000000000000000100,2099999996220004
31,6510000,6510000,31,2,000000000000000000000000000000010,2099999997060002
32,6720000,6720000,32,1,000000000000000000000000000000001,2099999997480001
33,6930000,6930000,33,0,000000000000000000000000000000000,2099999997690000
